sample_id,avg_elements,min_elements,max_elements,density_category
1656362967263,13.0,13,13,low
1656278844448,249.0,249,249,high
1656308161201,46.0,46,46,low
1657181162822,7.0,7,7,low
1656568730015,165.0,165,165,high
1656228376150,48.0,48,48,low
1656533553540,146.0,146,146,medium
1656597339528,29.0,29,29,low
1656019469199,49.0,49,49,low
1656434535029,42.0,42,42,low
1657134945613,130.75,117,142,medium
1656136929934,193.0,193,193,high
1656035314301,275.0,275,275,high
1656578475292,30.0,30,30,low
1656369107947,70.0,70,70,medium
1656574237657,230.0,230,230,high
1656565018378,174.0,174,174,high
1655986375851,70.0,70,70,medium
1659974033365,229.0,229,229,high
1656264960557,227.0,227,227,high
1656240426162,348.0,348,348,high
1656533780540,339.0,339,339,high
1656065576186,61.0,61,61,medium
1655896696033,80.0,80,80,medium
1656373514692,52.0,52,52,medium
1656044058619,12.0,12,12,low
1656553478456,150.0,150,150,medium
1656301192952,70.0,70,70,medium
1658442143318,43.0,43,43,low
1656108789504,328.0,328,328,high
1655889843254,12.0,12,12,low
1656518996240,41.0,41,41,low
1656162957912,95.0,95,95,medium
1656351393279,60.0,60,60,medium
1656520359235,179.0,179,179,high
1656293162951,70.0,70,70,medium
1656106484716,10.0,10,10,low
1657116013449,52.0,52,52,medium
1655992359804,349.0,349,349,high
1656067218703,60.0,60,60,medium
1655983925260,60.0,60,60,medium
1656233482489,48.0,48,48,low
1658313606128,229.0,229,229,high
1657457773867,34.0,34,34,low
1656579654854,70.0,70,70,medium
1655896788809,72.0,72,72,medium
1656182096329,10.0,10,10,low
1656214011344,175.0,175,175,high
1656584755796,42.0,42,42,low
1656167859651,250.0,250,250,high
1657384320707,68.0,68,68,medium
1655945113117,26.0,26,26,low
1656060419106,46.0,46,46,low
1656329067702,106.0,106,106,medium
1657095824364,144.0,144,144,medium
1656372888943,16.0,16,16,low
1656500639384,325.0,325,325,high
1656523765015,268.0,268,268,high
1656261240268,60.0,60,60,medium
1655919997721,53.0,53,53,medium
1656027824940,30.0,30,30,low
1656508592674,88.0,88,88,medium
1656012932383,71.0,71,71,medium
1657393914981,11.0,11,11,low
1655974644532,52.0,52,52,medium
1656285799169,45.0,45,45,low
1656546211260,229.0,229,229,high
1657092339127,27.0,27,27,low
1657098126162,377.75,120,615,high
1656548787424,358.0,358,358,high
1656061256142,282.0,282,282,high
1656117055779,29.0,29,29,low
1655974654631,23.0,23,23,low
1657194356742,96.0,96,96,medium
1656570115481,14.0,14,14,low
1656588142891,16.0,16,16,low
1656108019263,10.0,10,10,low
1656152434252,162.0,162,162,high
1656134465055,43.0,43,43,low
1657087659865,66.0,66,66,medium
1656387062345,103.0,103,103,medium
1656235294313,6.0,6,6,low
1656042200900,197.0,197,197,high
1656614406725,229.0,229,229,high
1657139087271,78.0,78,78,medium
1656222717401,271.0,271,271,high
1657105501052,7.0,7,7,low
1656577288637,168.0,168,168,high
1655985275858,218.0,218,218,high
1657400037412,255.0,255,255,high
1656614750376,252.0,252,252,high
1656598154985,219.0,219,219,high
1655920459722,52.0,52,52,medium
1656374382011,24.0,24,24,low
1656099089627,219.0,219,219,high
1656163657183,84.0,84,84,medium
1655991152874,16.0,16,16,low
1656086396904,71.0,71,71,medium
1656067576146,26.0,26,26,low
1656098297692,78.0,78,78,medium
1656223235863,364.0,364,364,high
1656566417007,51.0,51,51,medium
1655980496697,30.0,30,30,low
1656400777067,372.0,372,372,high
1656003306024,102.0,102,102,medium
1656331249424,27.0,27,27,low
1656259886179,250.0,250,250,high
1656336374746,83.0,83,83,medium
1655925502577,66.0,66,66,medium
1656157577929,16.0,16,16,low
1656122269116,88.0,88,88,medium
1655962282476,131.0,131,131,medium
1656109349811,52.0,52,52,medium
1656005838595,52.0,52,52,medium
1655988523356,53.0,53,53,medium
1656004263238,63.0,63,63,medium
1658289024688,16.0,16,16,low
1657177533282,153.0,153,153,high
1656338198480,177.0,177,177,high
1656134426276,224.0,224,224,high
1655934824903,46.0,46,46,low
1656084694531,75.0,75,75,medium
1656173117464,52.0,52,52,medium
1656258103033,58.0,58,58,medium
1655969093250,23.0,23,23,low
1656005289959,29.0,29,29,low
1656414460032,208.0,208,208,high
1656405489515,53.0,53,53,medium
1656208250743,70.0,70,70,medium
1655966820870,69.0,69,69,medium
1656404426553,47.0,47,47,low
1658882409189,7.0,7,7,low
1657380651487,43.0,43,43,low
1656045238932,103.0,103,103,medium
1656023535454,105.0,105,105,medium
1656178002408,38.0,38,38,low
1656148737503,88.0,88,88,medium
1656252114187,11.0,11,11,low
1656393404627,37.0,37,37,low
1656562679912,68.0,68,68,medium
1657091729692,96.0,96,96,medium
1656183864452,222.0,222,222,high
1656159071091,70.0,70,70,medium
1657143754837,144.0,144,144,medium
1656262579062,30.0,30,30,low
1655962912445,26.0,26,26,low
1656341839309,143.0,143,143,medium
1656546011069,47.0,47,47,low
1656201534440,191.0,191,191,high
1656183846684,23.0,23,23,low
1657304192978,511.5,498,516,high
1656329950243,325.0,325,325,high
1656288271938,6.0,6,6,low
1656426120764,89.0,89,89,medium
1656473939967,3.0,3,3,low
1658276327520,206.0,206,206,high
1655971881671,280.0,280,280,high
1656578116155,199.0,199,199,high
1656021007113,233.0,233,233,high
1656302688015,72.0,72,72,medium
1655940880989,10.0,10,10,low
1656391162530,70.0,70,70,medium
1656001970629,95.0,95,95,medium
1656497254237,199.0,199,199,high
1656414998467,7.0,7,7,low
1656598634769,201.0,201,201,high
1655926662468,53.0,53,53,medium
1657118133148,450.0,450,450,high
1658698304429,43.0,43,43,low
1656525829203,23.25,18,25,low
1656510750556,194.0,194,194,high
1656152899067,7.0,7,7,low
1657420403849,43.0,43,43,low
1656104001430,7.0,7,7,low
1657117133458,38.0,38,38,low
1656334935042,109.0,104,116,medium
1656130361671,347.0,347,347,high
1656201295951,170.0,170,170,high
1656192437419,38.0,38,38,low
1656123493267,81.0,81,81,medium
1658553002555,167.0,167,167,high
1656046965258,170.0,170,170,high
1656518317027,70.0,70,70,medium
1656392606657,40.0,40,40,low
1656316790065,119.0,119,119,medium
1657150419626,91.0,91,91,medium
1655985675630,42.0,42,42,low
1657375152956,313.0,313,313,high
1656353158645,259.0,259,259,high
1656330750941,220.0,220,220,high
1656397649589,218.0,218,218,high
1657133298486,325.0,325,325,high
1655979945497,52.0,52,52,medium
1656525324663,66.0,66,66,medium
1656283999024,203.0,203,203,high
1656590680312,163.0,163,163,high
1656236308691,23.25,18,25,low
1656414725700,86.0,86,86,medium
1655893666749,52.0,52,52,medium
1656049851640,197.0,197,197,high
1656505997172,318.0,318,318,high
1655929342622,131.0,131,131,medium
1656040251505,6.0,6,6,low
1656348713387,89.0,89,89,medium
1655935636985,16.0,16,16,low
1656219452450,98.0,98,98,medium
1656182941141,90.0,90,90,medium
1656034942959,120.0,120,120,medium
1658344537885,103.0,103,103,medium
1656174343391,42.0,42,42,low
1656497051520,144.0,144,144,medium
1656531997615,218.0,218,218,high
1657419125870,229.0,229,229,high
1658381222167,167.0,167,167,high
1656506117141,8.0,8,8,low
1656250094257,22.0,22,22,low
1656095088799,103.75,97,119,medium
1656373778342,181.0,181,181,high
1656080848586,218.0,218,218,high
1656585468008,185.0,185,185,high
1656566870755,188.0,188,188,high
1656240447251,179.0,179,179,high
1655938182321,42.0,42,42,low
1656248524590,171.0,171,171,high
1656243223078,3.0,3,3,low
1656415126544,70.0,70,70,medium
1656224706849,261.0,261,261,high
1659591595457,70.0,70,70,medium
1656521535287,27.0,27,27,low
1656236651816,61.0,61,61,medium
1656108926059,111.0,111,111,medium
1656253721449,288.0,288,288,high
1655954363995,79.0,79,79,medium
1655982340892,7.0,7,7,low
1656086029198,273.0,273,273,high
1656290807095,183.75,179,192,high
1656199006533,53.0,53,53,medium
1656047168232,316.0,316,316,high
1655971252112,64.0,64,64,medium
1656104743657,70.0,70,70,medium
1656581318296,108.0,108,108,medium
1655940608575,144.75,141,146,medium
1656596110090,70.0,70,70,medium
1656530520543,7.0,7,7,low
1658322740318,144.0,144,144,medium
1658280178930,405.0,405,405,high
1655996560399,183.0,183,183,high
1655958736985,218.0,218,218,high
1656487230594,177.0,177,177,high
1655966530007,61.0,61,61,medium
1656120376178,7.0,7,7,low
1656413902666,82.0,82,82,medium
1659284209144,43.0,43,43,low
1656536473231,418.0,418,418,high
1656544361263,66.0,66,66,medium
1656325305648,456.0,456,456,high
1656162853105,265.0,265,265,high
1655991024370,350.0,350,350,high
1655951215957,16.0,16,16,low
1656203796062,229.0,229,229,high
1656458896812,268.0,268,268,high
1656022968662,265.0,265,265,high
1656142553955,131.0,131,131,medium
1657120426595,171.0,171,171,high
1656129984913,53.0,53,53,medium
1656262930919,12.0,12,12,low
1658784727254,7.0,7,7,low
1656198796331,167.0,167,167,high
1656530072624,119.0,119,119,medium
1656582556292,162.0,162,162,high
1656293526195,321.0,321,321,high
1656608481077,70.0,70,70,medium
1656371462125,64.0,64,64,medium
1656221033382,91.0,91,91,medium
1656055869302,233.0,233,233,high
1656340783989,70.0,70,70,medium
1656080656557,78.0,78,78,medium
1656250406928,177.0,177,177,high
1655970552476,50.0,50,50,medium
1656414506970,153.0,153,153,high
1656164437883,26.0,26,26,low
1655983871691,329.0,323,331,high
1656051601987,130.0,130,130,medium
1656204285931,21.0,21,21,low
1656268506756,394.0,394,394,high
1657093375707,328.0,328,328,high
1656318946498,338.0,335,341,high
1656077206035,7.0,7,7,low
1656094372170,38.0,38,38,low
1656081328330,197.0,197,197,high
1655964265647,218.0,218,218,high
1656541087705,318.0,318,318,high
1656240735121,53.0,53,53,medium
1656194509778,484.0,484,484,high
1655964293849,615.0,615,615,high
1656279109124,298.0,298,298,high
1656382995714,282.0,282,282,high
1656369453825,66.0,66,66,medium
1656165027072,70.0,70,70,medium
1657127558651,7.0,7,7,low
1656003610606,127.0,127,127,medium
1656166352799,70.0,70,70,medium
1656158227962,52.0,52,52,medium
1657146126239,201.0,201,201,high
1655923694144,101.0,101,101,medium
1655940219222,130.0,130,130,medium
1656015078104,268.0,268,268,high
1655992819256,48.0,48,48,low
1655956674338,69.0,69,69,medium
1656417908428,63.0,63,63,medium
1656384512167,268.0,268,268,high
1656552312629,418.0,418,418,high
1656513881835,63.0,63,63,medium
1656055306130,12.0,12,12,low
1658706537320,64.0,64,64,medium
1655958400735,200.0,200,200,high
1655949275094,124.0,124,124,medium
1656595712612,72.0,72,72,medium
1656006384280,6.0,6,6,low
1656123088708,560.0,560,560,high
1656561943719,85.0,85,85,medium
1656358515238,137.0,137,137,medium
1655950603932,75.0,75,75,medium
1657324526729,123.0,123,123,medium
1656330227230,67.0,67,67,medium
1656124782903,22.0,22,22,low
1656151614871,201.0,201,201,high
1656325242395,93.0,93,93,medium
1656408023153,125.0,125,125,medium
1656261171802,149.0,149,149,medium
1656605588976,162.0,162,162,high
1656365759444,10.0,10,10,low
1657131191381,116.0,116,116,medium
1656102413321,111.0,111,111,medium
1655955824138,66.0,66,66,medium
1656526351986,57.0,57,57,medium
1656067576440,201.0,201,201,high
1655942890168,68.0,68,68,medium
1656017413045,112.0,112,112,medium
1656282997494,23.0,23,23,low
1656591227503,418.0,418,418,high
1656403356345,50.0,50,50,medium
1656371779372,188.0,188,188,high
1657124539596,107.0,107,107,medium
1656559100877,35.0,35,35,low
1657176463798,259.0,259,259,high
1656252858602,9.0,9,9,low
1656135092261,24.0,24,24,low
1656526782628,56.0,56,56,medium
1657373728770,229.0,229,229,high
1656137329767,206.0,206,206,high
1656435099441,116.0,116,116,medium
1656455963662,189.0,189,189,high
1656121572354,16.0,16,16,low
1656573229579,164.0,164,164,high
1656403739883,131.0,131,131,medium
1656298309230,66.0,66,66,medium
1655983440967,46.0,46,46,low
1656115168916,64.0,64,64,medium
1656589251745,121.0,121,121,medium
1655914348849,8.0,8,8,low
1656005274345,76.0,76,76,medium
1656039937615,185.0,185,185,high
1656525196053,216.0,216,216,high
1655922723220,49.0,49,49,low
1655995512468,57.0,57,57,medium
1656126831406,12.0,12,12,low
1655939300065,180.0,180,180,high
1656270688714,170.0,169,171,high
1656282538746,90.0,90,90,medium
1655927697506,92.0,92,92,medium
1656236361245,353.0,353,353,high
1656588881605,138.0,138,138,medium
1655967603338,20.0,20,20,low
1656580201990,59.0,59,59,medium
1656361871765,325.0,325,325,high
1656567839173,35.0,35,35,low
1658421068129,229.0,229,229,high
1656221421633,48.0,48,48,low
1656590192127,85.0,85,85,medium
1656021994333,181.0,181,181,high
1656064900821,23.0,23,23,low
1655963234573,106.0,106,106,medium
1658945923786,397.0,397,397,high
1657187246678,162.0,162,162,high
1656178296940,484.0,484,484,high
1656270877722,229.0,229,229,high
1655916887887,507.0,507,507,high
1656407824555,16.0,16,16,low
1656475160711,162.0,162,162,high
1656156403469,47.0,47,47,low
1656143076458,233.0,233,233,high
1656043035000,25.0,25,25,low
1655920368547,20.0,20,20,low
1655972942592,70.0,70,70,medium
1658279817120,79.0,79,79,medium
1655969514445,130.0,130,130,medium
1657150622844,313.0,313,313,high
1656372624119,66.0,66,66,medium
1656147575111,33.0,33,33,low
1656564631549,126.0,126,126,medium
1656595598368,83.0,83,83,medium
1656599818937,411.0,411,411,high
1657138882531,229.0,229,229,high
1655969572251,61.0,61,61,medium
1656225718336,26.0,26,26,low
1656530852466,104.0,104,104,medium
1656227085952,281.0,281,281,high
1655979163546,7.0,7,7,low
1655969098446,75.0,75,75,medium
1656080691622,170.0,170,170,high
1656237091125,58.0,58,58,medium
1656113470615,141.0,141,141,medium
1656238453526,54.0,54,54,medium
1655985830261,61.0,61,61,medium
1657095796472,99.0,99,99,medium
1656277298796,168.0,168,168,high
1656132457807,160.0,160,160,high
1657122941331,15.0,15,15,low
1656134999733,5.0,5,5,low
1656023715003,159.0,159,159,high
1656257118506,208.0,208,208,high
1657162542175,313.0,313,313,high
1657099667052,29.0,29,29,low
1655944408929,14.0,14,14,low
1658319661206,313.0,313,313,high
1656419390022,48.0,48,48,low
1656154037702,14.0,14,14,low
1656354526792,43.0,43,43,low
1656457343689,73.0,73,73,medium
1656351730581,16.0,16,16,low
1656268782650,110.0,110,110,medium
1656279666767,171.0,171,171,high
1656081141598,62.0,62,62,medium
1655969522860,131.0,131,131,medium
1656573202170,177.0,177,177,high
1655931281819,20.0,20,20,low
1656255481098,26.0,26,26,low
1656535047846,203.0,203,203,high
1656204977318,120.0,120,120,medium
1656334584153,125.0,125,125,medium
1655911675779,282.0,282,282,high
1657343910968,46.0,46,46,low
1657114058942,87.0,87,87,medium
1658598300713,7.0,7,7,low
1657102978156,52.0,51,53,medium
1658576327466,187.0,187,187,high
1656020831232,281.0,281,281,high
1655896040745,16.0,16,16,low
1656270912924,16.0,16,16,low
1657199903040,30.0,30,30,low
1656515120305,102.0,102,102,medium
1656240398623,134.0,134,134,medium
1656201775835,112.0,112,112,medium
1656268125240,71.0,71,71,medium
1656350252532,86.0,86,86,medium
1656144027853,211.0,211,211,high
1658866473502,43.0,43,43,low
1656273109410,79.0,79,79,medium
1655968483685,131.0,131,131,medium
1656388855893,111.0,111,111,medium
1656273559900,5.0,5,5,low
1656212067983,163.0,163,163,high
1656150539976,16.0,16,16,low
1655980021304,24.0,24,24,low
1656557576079,157.0,157,157,high
1657368879085,313.0,313,313,high
1656229112025,219.0,219,219,high
1656183751149,131.0,131,131,medium
1656131365531,98.0,98,98,medium
1655988090484,39.0,39,39,low
1656557482150,10.0,10,10,low
1655929210500,37.0,37,37,low
1655928709222,61.0,61,61,medium
1656325501411,39.0,39,39,low
1658319793452,46.0,46,46,low
1656097136854,57.0,57,57,medium
1655934249294,244.0,244,244,high
1655988185020,22.0,22,22,low
1656070081624,75.0,75,75,medium
1658679082747,229.0,229,229,high
1656147135544,23.0,23,23,low
1656293709583,66.0,66,66,medium
1658353077746,399.0,399,399,high
1655958690354,72.0,72,72,medium
1658347652950,43.0,43,43,low
1656088454067,352.0,352,352,high
1656428987575,138.0,138,138,medium
1656525370795,79.0,79,79,medium
1656597886984,119.0,119,119,medium
1655986313099,26.0,26,26,low
1656532699987,93.0,93,93,medium
1657143936344,93.0,93,93,medium
1655974634874,226.0,226,226,high
1655886032342,371.0,371,371,high
1656123883754,177.0,177,177,high
1657140712637,313.0,313,313,high
1658482930304,313.0,313,313,high
1656085414065,61.0,61,61,medium
1656223496907,16.0,16,16,low
1655998161450,275.0,275,275,high
1656146809692,115.0,115,115,medium
1658341459466,313.0,313,313,high
1655929467387,40.0,40,40,low
1656239085649,91.0,91,91,medium
1656504493610,234.0,234,234,high
1656244206825,22.0,22,22,low
1656543345368,242.0,242,242,high
1656569406439,43.0,43,43,low
1656534611951,275.0,275,275,high
1656121023134,159.0,159,159,high
1655952996194,16.0,16,16,low
1655949305763,22.0,22,22,low
1656599519689,81.0,81,81,medium
1658373081496,229.0,229,229,high
1655959133604,14.0,14,14,low
1656186288041,161.0,161,161,high
1656515784343,49.0,49,49,low
1656574593331,55.0,55,55,medium
1656146665774,66.0,66,66,medium
1655904445187,84.0,84,84,medium
1656569785920,35.0,35,35,low
1655934437526,15.0,15,15,low
1656154699651,38.0,38,38,low
1657320164835,43.0,43,43,low
1656199733446,86.0,86,86,medium
1656405875325,475.0,475,475,high
1658289413117,229.0,229,229,high
1656576694558,234.0,234,234,high
1656165159602,178.0,178,178,high
1656383255752,157.0,157,157,high
1655900722973,123.0,123,123,medium
1656481051578,266.0,266,266,high
1656071527960,52.0,52,52,medium
1656099220855,127.0,127,127,medium
1658682740969,43.0,43,43,low
1656063921320,202.0,202,202,high
1658425953838,263.0,263,263,high
1656617794502,30.0,30,30,low
1657220091618,313.0,313,313,high
1658484497790,43.0,43,43,low
1656498719593,182.0,182,182,high
1656335924705,95.0,95,95,medium
1657098488161,82.0,82,82,medium
1656603405832,125.0,125,125,medium
1655909382147,84.0,84,84,medium
1658733388778,313.0,313,313,high
1656075686948,48.0,48,48,low
1656109627769,151.0,151,151,high
1656251053166,18.0,18,18,low
1658360987618,229.0,229,229,high
1657253163159,187.0,187,187,high
1656147494191,9.0,9,9,low
1656015307402,115.0,115,115,medium
1655978214733,57.0,57,57,medium
1656586286567,195.0,195,195,high
1656331672349,89.0,89,89,medium
1656125780359,70.0,70,70,medium
1656099382555,8.0,8,8,low
1657286566946,313.0,313,313,high
1656016429439,141.0,141,141,medium
1655914700980,127.0,127,127,medium
1658308692173,28.0,28,28,low
1658417165901,229.0,229,229,high
1656115922105,193.0,193,193,high
1655957097955,209.0,209,209,high
1655970117431,70.0,70,70,medium
1656565277175,353.0,353,353,high
1658356098003,7.0,7,7,low
1656107365706,32.0,32,32,low
1656320839897,116.0,116,116,medium
1658470958352,229.0,229,229,high
1656093051296,141.0,141,141,medium
1658506852257,345.0,345,345,high
1656100905106,209.0,209,209,high
1655970073378,77.0,77,77,medium
1656095968034,167.0,167,167,high
1655990370447,143.0,143,143,medium
1656383675109,157.0,157,157,high
1656420082001,34.0,34,34,low
1657105160977,132.0,132,132,medium
1656527190112,133.0,133,133,medium
1658503420644,48.0,48,48,low
1656024155344,62.0,62,62,medium
1656162006547,87.0,87,87,medium
1657201178571,313.0,313,313,high
1656218135017,7.0,7,7,low
1656214902154,104.0,104,104,medium
1656281285880,15.0,15,15,low
1656466200438,185.0,185,185,high
1656517381877,82.0,82,82,medium
1657255526023,313.0,313,313,high
1656140884944,53.0,53,53,medium
1656231563113,66.0,66,66,medium
1655972598056,307.0,307,307,high
1655896083515,22.0,22,22,low
1655889361180,240.5,234,243,high
1655922445310,98.0,98,98,medium
1657269256340,229.0,229,229,high
1656007743936,25.0,25,25,low
1657141181328,7.0,7,7,low
1656226404715,555.0,555,555,high
1656091227223,164.0,164,164,high
1656353724557,155.0,155,155,high
1656332184030,72.0,72,72,medium
1656282060860,140.0,140,140,medium
1656512929764,66.0,66,66,medium
1658520178040,7.0,7,7,low
1656415512524,56.0,56,56,medium
1656488743224,29.0,29,29,low
1656053711431,69.0,69,69,medium
1656149360159,42.0,42,42,low
1656384260738,167.0,167,167,high
1657199277559,7.0,7,7,low
1656093102173,12.0,12,12,low
1657298267373,7.0,7,7,low
1656067542130,63.0,63,63,medium
1656504544112,136.0,136,136,medium
1656366761206,22.0,22,22,low
1657119550094,52.5,51,53,medium
1656162167839,41.0,41,41,low
1655966059974,95.0,95,95,medium
1656312075296,146.0,146,146,medium
1656185008050,66.0,66,66,medium
1656134784787,25.0,25,25,low
1656105447682,23.0,23,23,low
1656435528295,129.0,129,129,medium
1656293486618,230.0,230,230,high
1658973304184,229.0,229,229,high
1656282111169,194.0,194,194,high
1658873150999,7.0,7,7,low
1657131111383,46.0,46,46,low
1657175386076,313.0,313,313,high
1659700843730,161.0,161,161,high
1657197827393,776.0,776,776,high
1657107978063,83.0,83,83,medium
1656620101674,63.0,63,63,medium
1658303374558,43.0,43,43,low
1658429602131,229.0,229,229,high
1656336370664,63.0,63,63,medium
1656055155401,23.0,23,23,low
1656423919847,54.0,54,54,medium
1655901157715,45.0,45,45,low
1657241046877,229.0,229,229,high
1658394320154,229.0,229,229,high
1655943657597,177.0,177,177,high
1655959728733,92.0,92,92,medium
1656616494959,16.0,16,16,low
1656368048391,195.25,193,196,high
1655953659650,283.0,283,283,high
1655958504691,133.0,133,133,medium
1655923182219,25.0,25,25,low
1656004316209,65.0,65,65,medium
1655955990206,8.0,8,8,low
1656556056542,62.0,62,62,medium
1658466468089,273.0,273,273,high
1656355044199,12.0,12,12,low
1656206838646,150.0,150,150,medium
1656267261490,34.0,34,34,low
1656178906109,139.0,139,139,medium
1656348445448,69.0,69,69,medium
1655986346821,168.0,168,168,high
1656114711747,209.0,209,209,high
1656267259165,72.0,72,72,medium
1657164660004,229.0,229,229,high
1656249478724,30.0,30,30,low
1656097342592,81.0,81,81,medium
1655984956826,11.0,11,11,low
1658302484597,313.0,313,313,high
1656018456533,140.0,140,140,medium
1656593529829,99.0,99,99,medium
1657319329916,61.0,61,61,medium
1658789897501,7.0,7,7,low
1656413693011,33.0,33,33,low
1659697869737,7.0,7,7,low
1657140732595,229.0,229,229,high
1657441413787,229.0,229,229,high
1656385614558,72.0,72,72,medium
1656012638042,214.0,214,214,high
1655979312431,177.0,177,177,high
1658984166414,229.0,229,229,high
1658391255525,229.0,229,229,high
1656536175207,47.0,47,47,low
1656217867915,7.0,7,7,low
1656240700320,144.0,144,144,medium
1656327941765,126.0,126,126,medium
1657095040486,305.0,305,305,high
1658315595571,229.0,229,229,high
1660285896684,229.0,229,229,high
1658912483345,229.0,229,229,high
1656362972042,60.0,60,60,medium
1657453551621,7.0,7,7,low
1656517571499,45.0,45,45,low
1655968444146,524.0,524,524,high
1656092924939,64.0,64,64,medium
1656525257278,73.0,73,73,medium
1656602333798,10.0,10,10,low
1656527111997,51.0,51,51,medium
1656031733632,56.0,56,56,medium
1656498913932,240.0,240,240,high
1657138558878,86.0,86,86,medium
1657166705174,67.0,67,67,medium
1655985968859,88.0,88,88,medium
1655946349643,26.0,26,26,low
1656225443038,145.0,145,145,medium
1656529833385,151.0,151,151,high
1656375569431,72.0,72,72,medium
1656287742222,88.0,88,88,medium
1656360064503,51.5,50,52,medium
1657117466529,229.0,229,229,high
1655934041065,156.0,156,156,high
1658775206513,229.0,229,229,high
1657272735251,229.0,229,229,high
1655947970821,41.0,41,41,low
1656112000705,95.0,95,95,medium
1656582001769,119.0,101,137,medium
1656555318152,165.0,165,165,high
1656579617207,66.0,66,66,medium
1656061524899,184.0,184,184,high
1656359262947,62.0,62,62,medium
1656555115194,251.0,251,251,high
1656090541959,148.0,148,148,medium
1656337712173,161.0,161,161,high
1656139286052,131.0,131,131,medium
1656126930863,95.0,95,95,medium
1658536033426,229.0,229,229,high
1657127705032,229.0,229,229,high
1655932242922,61.0,61,61,medium
1657192501877,229.0,229,229,high
1656174853849,108.0,108,108,medium
1657173154871,313.0,313,313,high
1657125910457,229.0,229,229,high
1658953854773,397.0,397,397,high
1656095706432,228.0,228,228,high
1655983204532,94.0,94,94,medium
1656223219487,35.0,35,35,low
1655944162334,288.0,288,288,high
1655930362456,63.0,63,63,medium
1658576804595,229.0,229,229,high
1657159648615,57.0,57,57,medium
1656564236174,47.0,47,47,low
1655920202353,365.0,365,365,high
1656081517733,177.0,177,177,high
1655937202373,147.0,147,147,medium
1657177477213,92.0,92,92,medium
1655950360894,132.0,132,132,medium
1656002878074,42.0,42,42,low
1656194080364,103.0,103,103,medium
1658466093857,229.0,229,229,high
